name,year_start,year_end,position,height,weight,birth_date,college
Todd Mundt,1996,1996.0,C,7-0,250.0,1970-05-17,Delta State University
Xavier Munford,2016,2016.0,G,6-2,180.0,1992-06-01,University of Rhode Island
Chris Munk,1991,1991.0,F,6-9,225.0,1967-08-05,University of Southern California
George Munroe,1947,1948.0,G,5-11,170.0,1922-01-05,Dartmouth College
Eric Murdock,1992,2000.0,G,6-1,190.0,1968-06-14,Providence College
Gheorghe Muresan,1994,2000.0,C,7-7,303.0,1971-02-14,
Allen Murphy,1976,1977.0,G,6-5,190.0,1952-07-15,University of Louisville
Calvin Murphy,1971,1983.0,G,5-9,165.0,1948-05-09,Niagara University
Dick Murphy,1947,1947.0,G,6-1,175.0,1921-03-10,Manhattan College
Erik Murphy,2014,2014.0,F,6-10,230.0,1990-10-26,University of Florida
Jay Murphy,1985,1988.0,F,6-9,220.0,1962-06-26,Boston College
John Murphy,1947,1947.0,F,6-2,175.0,1924-09-13,
Kevin Murphy,2013,2013.0,G,6-5,185.0,1990-03-06,Tennessee Technological University
Ronnie Murphy,1988,1988.0,F,6-5,225.0,1964-07-29,Jacksonville University
Tod Murphy,1988,1994.0,C-F,6-9,220.0,1963-12-24,"University of California, Irvine"
Troy Murphy,2002,2013.0,F-C,6-11,245.0,1980-05-02,University of Notre Dame
Dejounte Murray,2017,2018.0,G,6-5,170.0,1996-09-19,University of Washington
Jamal Murray,2017,2018.0,G,6-4,207.0,1997-02-23,University of Kentucky
Ken Murray,1951,1955.0,G-F,6-2,190.0,1928-04-20,St. Bonaventure University
Lamond Murray,1995,2006.0,F,6-7,236.0,1973-04-20,University of California
Ronald Murray,2003,2010.0,G,6-4,190.0,1979-07-29,Shaw University
Tracy Murray,1993,2004.0,F,6-7,225.0,1971-07-25,"University of California, Los Angeles"
Willie Murrell,1968,1970.0,F,6-6,225.0,1941-09-13,Kansas State University
Dorie Murrey,1967,1972.0,F-C,6-8,215.0,1943-09-07,University of Detroit Mercy
Toure' Murry,2014,2015.0,G-F,6-5,195.0,1989-11-08,Wichita State University
Mike Muscala,2014,2018.0,F-C,6-11,240.0,1991-07-01,Bucknell University
Angelo Musi,1947,1949.0,G,5-9,145.0,1918-07-25,Temple University
Jerrod Mustaf,1991,1994.0,F-C,6-10,238.0,1969-10-28,University of Maryland
Dikembe Mutombo,1992,2009.0,C,7-2,245.0,1966-06-25,Georgetown University
Martin Muursepp,1997,1998.0,F,6-9,235.0,1974-09-26,
Pete Myers,1987,1998.0,G-F,6-6,180.0,1963-09-15,University of Arkansas at Little Rock
Hamady N'Diaye,2011,2014.0,C,7-0,235.0,1987-01-12,Rutgers University
Makhtar N'Diaye,1999,1999.0,F,6-8,245.0,1973-12-12,University of North Carolina
Mamadou N'Diaye,2001,2005.0,C,7-0,255.0,1975-06-16,Auburn University
Boniface N'Dong,2006,2006.0,C,7-0,198.0,1977-03-09,
Bob Naber,1953,1953.0,F,6-3,185.0,1929-09-03,University of Louisville
Boris Nachamkin,1955,1955.0,F,6-6,210.0,1933-12-06,New York University
Bostjan Nachbar,2003,2008.0,F,6-9,221.0,1980-07-03,
Abdel Nader,2018,2018.0,F,6-6,230.0,1993-09-25,Iowa State University
Jerry Nagel,1950,1950.0,G,6-0,190.0,1928-05-18,Loyola University of Chicago
Fritz Nagy,1949,1949.0,G-F,6-2,185.0,1924-01-03,University of Akron
Lee Nailon,2001,2006.0,F,6-9,238.0,1975-02-22,Texas Christian University
Eduardo Najera,2001,2012.0,F,6-8,240.0,1976-07-11,University of Oklahoma
Larry Nance,1982,1994.0,F-C,6-10,205.0,1959-02-12,Clemson University
Shabazz Napier,2015,2018.0,G,6-1,175.0,1991-07-14,University of Connecticut
Paul Napolitano,1949,1949.0,F-G,6-2,185.0,1923-02-03,University of San Francisco
Bob Nash,1973,1979.0,F,6-8,195.0,1950-08-24,University of Hawaii
Cotton Nash,1965,1968.0,F,6-5,215.0,1942-07-24,University of Kentucky
Steve Nash,1997,2014.0,G,6-3,195.0,1974-02-07,Santa Clara University
Swen Nater,1974,1984.0,C,6-11,240.0,1950-01-14,"University of California, Los Angeles"
Howard Nathan,1996,1996.0,G,5-11,175.0,1972-01-21,University of Louisiana at Monroe
Calvin Natt,1980,1990.0,F,6-6,220.0,1957-01-08,University of Louisiana at Monroe
Kenny Natt,1981,1985.0,G,6-3,185.0,1958-10-05,University of Louisiana at Monroe
Willie Naulls,1957,1966.0,F-C,6-6,225.0,1934-10-07,"University of California, Los Angeles"
Juan Carlos Navarro,2008,2008.0,G,6-3,170.0,1980-06-13,
Maurice Ndour,2017,2017.0,F,6-9,200.0,1992-06-18,Ohio University
Craig Neal,1989,1991.0,G,6-5,165.0,1964-02-16,Georgia Institute of Technology
Gary Neal,2011,2017.0,G,6-4,210.0,1984-10-03,Towson University
Jim Neal,1954,1955.0,C,6-11,235.0,1930-05-21,Wofford College
Lloyd Neal,1973,1979.0,C-F,6-7,225.0,1950-12-10,Tennessee State University
Ed Nealy,1983,1993.0,F,6-7,238.0,1960-02-19,Kansas State University
Nemanja Nedovic,2014,2014.0,G,6-3,192.0,1991-06-16,
Al Negratti,1947,1947.0,F-C,6-3,200.0,1921-06-12,Seton Hall University
Barry Nelson,1972,1972.0,C,6-10,230.0,1949-09-19,Duquesne University
DeMarcus Nelson,2009,2009.0,G,6-4,200.0,1985-11-02,Duke University
Don Nelson,1963,1976.0,F,6-6,210.0,1940-05-15,University of Iowa
Jameer Nelson,2005,2018.0,G,6-0,190.0,1982-02-09,Saint Joseph's University
Louie Nelson,1974,1978.0,G,6-3,190.0,1951-05-28,University of Washington
Ron Nelson,1971,1971.0,G,6-2,175.0,1946-10-07,University of New Mexico
Ruben Nembhard,1997,1997.0,G,6-3,208.0,1972-02-20,Weber State University
Dick Nemelka,1971,1971.0,G,6-0,175.0,1943-10-01,Brigham Young University
Tyrone Nesby,1999,2002.0,F,6-6,225.0,1976-01-31,"University of Nevada, Las Vegas"
Martin Nessley,1988,1988.0,C,7-2,260.0,1965-02-16,Duke University
Rasho Nesterovic,1999,2010.0,C,7-0,248.0,1976-05-30,
Raul Neto,2016,2018.0,G,6-1,179.0,1992-05-19,
Bob Netolicky,1968,1976.0,F-C,6-9,220.0,1942-08-02,Drake University
Johnny Neumann,1972,1978.0,G-F,6-6,200.0,1951-09-11,University of Mississippi
Paul Neumann,1962,1967.0,G,6-1,175.0,1938-01-30,Stanford University
Chuck Nevitt,1983,1994.0,C,7-5,217.0,1959-06-13,North Carolina State University
Melvin Newbern,1993,1993.0,G,6-4,200.0,1967-06-11,University of Minnesota
Ivano Newbill,1995,1998.0,F,6-9,245.0,1970-12-12,Georgia Institute of Technology
Ira Newble,2001,2008.0,F,6-7,220.0,1975-01-20,Miami University
Mike Newlin,1972,1982.0,G-F,6-4,200.0,1949-01-02,University of Utah
Johnny Newman,1987,2002.0,F-G,6-7,190.0,1963-11-28,University of Richmond
Dave Newmark,1969,1971.0,C,7-0,240.0,1946-09-11,Columbia University
Bill Newton,1973,1974.0,C,6-9,220.0,1950-12-22,Louisiana State University
Georges Niang,2017,2017.0,F,6-8,230.0,1993-06-17,Iowa State University
Demetris Nichols,2008,2009.0,F,6-8,216.0,1984-09-04,Syracuse University
Jack Nichols,1949,1958.0,C-F,6-7,222.0,1926-04-09,University of Washington
Andrew Nicholson,2013,2017.0,F,6-9,250.0,1989-12-08,St. Bonaventure University
Gaylon Nickerson,1997,1997.0,G,6-3,190.0,1969-02-05,Northwestern Oklahoma State University
Carl Nicks,1981,1983.0,G,6-1,175.0,1958-10-06,Indiana State University
Rich Niemann,1969,1972.0,C,7-0,245.0,1946-07-02,Saint Louis University
Richie Niemiera,1949,1950.0,G-F,6-1,165.0,1921-05-26,University of Notre Dame
Mike Niles,1981,1981.0,F,6-6,225.0,1955-03-31,"California State University, Fullerton"
Kurt Nimphius,1982,1990.0,C-F,6-10,218.0,1958-03-13,Arizona State University
Dyron Nix,1990,1990.0,F,6-7,210.0,1967-02-11,University of Tennessee
Norm Nixon,1978,1989.0,G,6-2,170.0,1955-10-11,Duquesne University
Joakim Noah,2008,2018.0,C,6-11,230.0,1985-02-25,University of Florida
Chuck Noble,1956,1962.0,G,6-4,190.0,1931-07-24,University of Louisville
Andres Nocioni,2005,2012.0,F,6-7,225.0,1979-11-30,
David Noel,2007,2007.0,F,6-6,230.0,1984-02-27,University of North Carolina
Nerlens Noel,2015,2018.0,C-F,6-11,228.0,1994-04-10,University of Kentucky
Paul Noel,1948,1952.0,F,6-4,185.0,1924-08-17,University of Kentucky
Lucas Nogueira,2015,2018.0,C,7-0,241.0,1992-07-26,
Jim Nolan,1950,1950.0,C,6-8,210.0,1927-06-09,Georgia Institute of Technology
Paul Nolen,1954,1954.0,C,6-10,,1929-09-03,Texas Tech University
Jeff Nordgaard,1998,1998.0,F,6-7,225.0,1973-02-23,University of Wisconsin-Green Bay
Bevo Nordmann,1962,1965.0,C,6-10,225.0,1939-12-11,Saint Louis University
Johnny Norlander,1947,1951.0,F,6-3,180.0,1921-03-05,Hamline University
Connie Norman,1975,1979.0,G,6-3,175.0,1953-09-24,University of Arizona
Ken Norman,1988,1997.0,F,6-8,215.0,1964-09-05,University of Illinois at Urbana-Champaign
Audie Norris,1983,1985.0,C,6-9,230.0,1960-12-18,Jackson State University
Moochie Norris,1997,2006.0,G,6-1,175.0,1973-07-27,University of West Florida
Sylvester Norris,1980,1980.0,C,6-11,220.0,1957-02-18,Jackson State University
Willie Norwood,1972,1978.0,F,6-7,220.0,1947-08-08,Alcorn State University
George Nostrand,1947,1950.0,C-F,6-8,195.0,1924-01-25,University of Wyoming
Stan Noszka,1947,1949.0,G,6-1,185.0,1920-09-09,Duquesne University
Mike Novak,1949,1954.0,C-F,6-9,219.0,1915-04-23,Loyola University of Chicago
Steve Novak,2007,2017.0,F,6-10,225.0,1983-06-13,Marquette University
Mel Nowell,1963,1968.0,G,6-2,170.0,1939-12-27,Ohio State University
Dirk Nowitzki,1999,2018.0,F,7-0,245.0,1978-06-19,
Frank Ntilikina,2018,2018.0,G,6-5,190.0,1998-07-28,
James Nunnally,2014,2014.0,F,6-7,205.0,1990-07-14,"University of California, Santa Barbara"
Jusuf Nurkic,2015,2018.0,C,7-0,280.0,1994-08-23,
Dennis Nutt,1987,1987.0,G,6-2,170.0,1963-03-25,Texas Christian University
David Nwaba,2017,2018.0,G,6-4,209.0,1993-01-14,"California Polytechnic State University, San Luis Obispo"
Julius Nwosu,1995,1995.0,C,6-10,255.0,1971-05-01,Liberty University
Charles O'Bannon,1998,1999.0,G-F,6-5,209.0,1975-02-22,"University of California, Los Angeles"
Ed O'Bannon,1996,1997.0,F,6-8,222.0,1972-08-14,"University of California, Los Angeles"
John O'Boyle,1953,1953.0,G,6-2,185.0,1928-03-07,Colorado State University
Bob O'Brien,1948,1949.0,F,6-4,190.0,1927-01-26,Pepperdine University
J.J. O'Brien,2016,2016.0,F,6-7,228.0,1992-04-08,San Diego State University
Jim O'Brien,1974,1975.0,F,6-7,200.0,1951-11-07,University of Maryland
Jimmy O'Brien,1972,1975.0,G,6-1,170.0,1950-04-09,Boston College
Ralph O'Brien,1952,1953.0,G,5-9,160.0,1928-04-08,Butler University
Johnny O'Bryant,2015,2018.0,F-C,6-9,257.0,1993-06-01,Louisiana State University
Patrick O'Bryant,2007,2010.0,C,7-0,260.0,1986-06-20,Bradley University
Dermie O'Connell,1949,1950.0,G,6-0,174.0,1928-04-13,College of the Holy Cross
Andy O'Donnell,1950,1950.0,G,6-1,180.0,1925-03-10,Loyola College in Maryland
Buddy O'Grady,1947,1949.0,G,5-11,160.0,1920-01-19,Georgetown University
Fran O'Hanlon,1971,1971.0,G,6-1,175.0,1948-08-24,Villanova University
Dick O'Keefe,1948,1951.0,G-F,6-2,185.0,1923-09-29,Santa Clara University
Tommy O'Keefe,1951,1951.0,G,6-2,185.0,1928-06-03,Georgetown University
Mike O'Koren,1981,1988.0,F-G,6-7,207.0,1958-02-07,University of North Carolina
Grady O'Malley,1970,1970.0,F,6-5,205.0,1948-04-25,Manhattan College
Jermaine O'Neal,1997,2014.0,F-C,6-11,226.0,1978-10-13,
Shaquille O'Neal,1993,2011.0,C,7-1,325.0,1972-03-06,Louisiana State University
Royce O'Neale,2018,2018.0,F,6-6,215.0,1993-06-05,Baylor University
Mike O'Neill,1953,1953.0,F,6-3,210.0,,University of California
Kyle O'Quinn,2013,2018.0,F-C,6-10,250.0,1990-03-26,Norfolk State University
Kevin O'Shea,1951,1953.0,G,6-2,175.0,1925-07-10,University of Notre Dame
Garland O'Shields,1947,1947.0,G-F,6-1,195.0,1921-05-23,University of Tennessee
Dan O'Sullivan,1991,1996.0,C,6-10,250.0,1968-03-03,Fordham University
Charles Oakley,1986,2004.0,F-C,6-8,225.0,1963-12-18,Virginia Union University
Fabricio Oberto,2006,2011.0,C-F,6-10,245.0,1975-03-21,
Daniel Ochefu,2017,2017.0,C,6-11,245.0,1993-12-15,Villanova University
Greg Oden,2009,2014.0,C,7-0,250.0,1988-01-22,Ohio State University
Lamar Odom,2000,2013.0,F,6-10,220.0,1979-11-06,University of Rhode Island
