name,year_start,year_end,position,height,weight,birth_date,college
Jordan Farmar,2007,2017.0,G,6-2,180.0,1986-11-30,"University of California, Los Angeles"
Desmon Farmer,2007,2009.0,G,6-5,220.0,1981-10-07,University of Southern California
Jim Farmer,1988,1994.0,G,6-4,190.0,1964-09-23,University of Alabama
Mike Farmer,1959,1966.0,F,6-7,210.0,1936-09-26,University of San Francisco
Tony Farmer,1998,2000.0,F,6-9,244.0,1970-01-03,University of Nebraska
Bob Faught,1947,1947.0,F,6-5,185.0,1921-09-02,University of Notre Dame
Vitor Faverani,2014,2014.0,C,6-11,260.0,1988-05-05,
Derrick Favors,2011,2018.0,F-C,6-10,265.0,1991-07-15,Georgia Institute of Technology
Nick Fazekas,2008,2008.0,F,6-11,235.0,1985-06-17,"University of Nevada, Reno"
Dave Fedor,1963,1963.0,F,6-6,190.0,1940-12-10,Florida State University
Bob Feerick,1947,1950.0,F-G,6-3,190.0,1920-01-02,Santa Clara University
Butch Feher,1977,1977.0,G,6-4,185.0,1954-05-19,Vanderbilt University
Jamie Feick,1997,2001.0,C,6-9,255.0,1974-07-03,Michigan State University
Ron Feiereisel,1956,1956.0,G,6-3,185.0,1931-08-06,DePaul University
George Feigenbaum,1950,1953.0,G,6-1,185.0,1929-07-02,University of Kentucky
Dave Feitl,1987,1992.0,C,6-11,235.0,1962-06-08,University of Texas at El Paso
Kay Felder,2017,2018.0,G,5-9,176.0,1995-03-29,Oakland University
Cristiano Felicio,2016,2018.0,F-C,6-10,275.0,1992-07-07,
Carrick Felix,2014,2014.0,G,6-6,201.0,1990-08-17,Arizona State University
Noel Felix,2006,2006.0,F,6-9,225.0,1981-10-04,"California State University, Fresno"
Ray Felix,1954,1962.0,C,6-11,220.0,1930-12-10,Long Island University
Raymond Felton,2006,2018.0,G,6-1,205.0,1984-06-26,University of North Carolina
Jake Fendley,1952,1953.0,G,6-0,180.0,1929-06-12,Northwestern University
Warren Fenley,1947,1947.0,F,6-3,190.0,1922-02-08,Manhattan College
Desmond Ferguson,2004,2004.0,G-F,6-7,203.0,1977-07-22,University of Detroit Mercy
Terrance Ferguson,2018,2018.0,G-F,6-7,184.0,1998-05-17,
Rudy Fernandez,2009,2012.0,G,6-6,185.0,1985-04-04,
Eric Fernsten,1976,1984.0,C-F,6-10,205.0,1953-11-01,University of San Francisco
Al Ferrari,1956,1963.0,G-F,6-4,190.0,1933-07-06,Michigan State University
Rolando Ferreira,1989,1989.0,C,7-1,240.0,1964-05-24,University of Houston
Duane Ferrell,1989,1999.0,F-G,6-7,209.0,1965-02-28,Georgia Institute of Technology
Yogi Ferrell,2017,2018.0,G,6-0,180.0,1993-05-09,Indiana University
Arnie Ferrin,1949,1951.0,F-G,6-2,180.0,1925-07-29,University of Utah
Bob Ferry,1960,1969.0,C-F,6-8,230.0,1937-05-31,Saint Louis University
Danny Ferry,1991,2003.0,F,6-10,230.0,1966-10-17,Duke University
Kyrylo Fesenko,2008,2012.0,C,7-1,288.0,1986-12-24,
Bobby Fields,1972,1972.0,G,6-3,175.0,1949-10-20,La Salle University
Kenny Fields,1985,1988.0,F-G,6-5,220.0,1962-02-09,"University of California, Los Angeles"
Landry Fields,2011,2015.0,F,6-7,210.0,1988-06-27,Stanford University
Ron Filipek,1968,1968.0,F,6-5,205.0,1944-02-05,Tennessee Technological University
Greg Fillmore,1971,1972.0,C,7-1,240.0,1947-03-07,Cheyney University of Pennsylvania
Larry Finch,1974,1975.0,G,6-2,185.0,1951-02-16,University of Memphis
Hank Finkel,1967,1975.0,C,7-0,240.0,1942-04-20,University of Dayton
Michael Finley,1996,2010.0,G-F,6-7,215.0,1973-03-06,University of Wisconsin
Danny Finn,1953,1955.0,G,6-1,185.0,1928-05-29,St. John's University
Dorian Finney-Smith,2017,2018.0,F,6-8,220.0,1993-05-04,University of Florida
Matt Fish,1995,1997.0,C,6-11,235.0,1969-11-18,University of North Carolina at Wilmington
Derek Fisher,1997,2014.0,G,6-1,200.0,1974-08-09,University of Arkansas at Little Rock
Richard Fisher,1972,1972.0,F,6-5,215.0,1948-10-27,Colorado State University
Gerald Fitch,2006,2006.0,G,6-3,188.0,1982-08-12,University of Kentucky
Bob Fitzgerald,1947,1949.0,F-C,6-5,190.0,1923-03-14,Seton Hall University
Dick Fitzgerald,1947,1948.0,F,6-2,175.0,1920-11-18,Fordham University
Marcus Fizer,2001,2006.0,F,6-9,262.0,1978-08-10,Iowa State University
Jerry Fleishman,1947,1953.0,G-F,6-2,190.0,1922-02-14,New York University
Al Fleming,1978,1978.0,F,6-7,215.0,1954-04-05,University of Arizona
Ed Fleming,1956,1960.0,G-F,6-3,189.0,1933-07-25,Niagara University
Vern Fleming,1985,1996.0,G,6-5,185.0,1962-02-04,University of Georgia
Luis Flores,2005,2005.0,G,6-2,200.0,1981-04-11,Manhattan College
Bruce Flowers,1983,1983.0,F,6-8,225.0,1957-06-13,University of Notre Dame
Sleepy Floyd,1983,1995.0,G,6-3,170.0,1960-03-06,Georgetown University
Jonny Flynn,2010,2012.0,G,6-0,185.0,1989-02-06,Syracuse University
Mike Flynn,1976,1978.0,G,6-2,180.0,1953-07-31,University of Kentucky
Larry Fogle,1976,1976.0,G,6-5,205.0,1953-03-19,Canisius College
Jack Foley,1963,1963.0,F,6-3,170.0,1939-04-19,College of the Holy Cross
Isaac Fontaine,2002,2002.0,G,6-4,210.0,1975-04-16,Washington State University
Levi Fontaine,1971,1971.0,G,6-4,190.0,1948-11-01,University of Maryland Eastern Shore
Jeff Foote,2012,2012.0,C,7-0,265.0,1987-07-14,Cornell University
Bryn Forbes,2017,2018.0,G,6-3,190.0,1993-07-23,Michigan State University
Gary Forbes,2011,2012.0,F,6-7,220.0,1985-02-25,University of Massachusetts Amherst
Alphonso Ford,1994,1995.0,G,6-1,190.0,1971-10-31,Mississippi Valley State University
Alton Ford,2002,2004.0,F,6-9,275.0,1981-05-29,University of Houston
Bob Ford,1973,1973.0,F,6-7,228.0,1950-01-26,Purdue University
Chris Ford,1973,1982.0,G-F,6-5,190.0,1949-01-11,Villanova University
Don Ford,1976,1982.0,F,6-9,215.0,1952-12-31,"University of California, Santa Barbara"
Jake Ford,1971,1972.0,G,6-3,180.0,1946-04-29,University of Maryland Eastern Shore
Phil Ford,1979,1985.0,G,6-2,175.0,1956-02-09,University of North Carolina
Sharrod Ford,2006,2006.0,F,6-9,225.0,1982-01-09,Clemson University
Sherell Ford,1996,1996.0,F,6-7,210.0,1972-08-26,University of Illinois at Chicago
T.J. Ford,2004,2012.0,G,6-0,165.0,1983-03-24,University of Texas at Austin
Donnie Forman,1949,1949.0,G,5-10,175.0,1926-01-17,New York University
Bayard Forrest,1978,1979.0,C,6-10,235.0,1954-07-08,Grand Canyon University
Joseph Forte,2002,2003.0,G,6-4,194.0,1981-03-23,University of North Carolina
Courtney Fortson,2012,2012.0,G,5-11,185.0,1988-05-23,University of Arkansas
Danny Fortson,1998,2007.0,F,6-7,260.0,1976-03-27,University of Cincinnati
Fred Foster,1969,1977.0,F,6-5,210.0,1946-03-18,Miami University
Greg Foster,1991,2003.0,F-C,6-11,240.0,1968-10-03,University of Texas at El Paso
Jeff Foster,2000,2012.0,F-C,6-11,236.0,1977-01-16,Texas State University
Jimmy Foster,1975,1976.0,G,6-1,175.0,1951-12-16,University of Connecticut
Rod Foster,1984,1986.0,G,6-1,160.0,1960-10-10,"University of California, Los Angeles"
Antonis Fotsis,2002,2002.0,F,6-10,219.0,1981-04-01,
Evan Fournier,2013,2018.0,G-F,6-7,205.0,1992-10-29,
Larry Foust,1951,1962.0,C-F,6-9,215.0,1928-06-24,La Salle University
Calvin Fowler,1970,1970.0,G,6-0,175.0,1940-02-11,Saint Francis University
Jerry Fowler,1952,1952.0,C,6-8,230.0,1927-06-20,University of Missouri
Tremaine Fowlkes,2002,2005.0,F,6-8,220.0,1976-04-11,"California State University, Fresno"
Harold Fox,1973,1973.0,G,6-2,175.0,1949-08-29,Jacksonville University
Jim Fox,1968,1977.0,C-F,6-10,230.0,1943-04-07,University of South Carolina
Rick Fox,1992,2004.0,F-G,6-7,230.0,1969-07-24,University of North Carolina
Randy Foye,2007,2017.0,G,6-4,213.0,1983-09-24,Villanova University
Adonal Foyle,1998,2009.0,C,6-10,250.0,1975-03-09,Colgate University
Richie Frahm,2004,2008.0,G,6-5,210.0,1977-08-14,Gonzaga University
Steve Francis,2000,2008.0,G,6-3,195.0,1977-02-21,University of Maryland
Tellis Frank,1988,1994.0,F-C,6-10,225.0,1965-04-26,Western Kentucky University
Nat Frankel,1947,1947.0,F-G,6-0,195.0,1913-11-03,Brooklyn College
Jamaal Franklin,2014,2015.0,G,6-5,191.0,1991-07-21,San Diego State University
William Franklin,1973,1976.0,F,6-7,220.0,1949-10-19,Purdue University
Ronald Franz,1968,1973.0,F,6-7,205.0,1945-10-20,University of Kansas
Tim Frazier,2015,2018.0,G,6-1,170.0,1990-11-01,Pennsylvania State University
Walt Frazier,1968,1980.0,G,6-4,200.0,1945-03-29,Southern Illinois University
Will Frazier,1966,1969.0,C-F,6-7,210.0,1942-08-24,Grambling State University
Anthony Frederick,1989,1992.0,F,6-7,205.0,1964-12-07,Pepperdine University
Jimmer Fredette,2012,2016.0,G,6-2,195.0,1989-02-25,Brigham Young University
World B. Free,1976,1988.0,G,6-2,185.0,1953-12-09,Guilford College
Joel Freeland,2013,2015.0,F-C,6-10,250.0,1987-02-07,
Donnie Freeman,1968,1976.0,G,6-3,185.0,1944-07-18,University of Illinois at Urbana-Champaign
Gary Freeman,1971,1971.0,F,6-9,210.0,1948-07-25,Oregon State University
Rod Freeman,1974,1974.0,F,6-7,225.0,1950-11-05,Vanderbilt University
Matt Freije,2005,2007.0,F,6-10,240.0,1981-10-02,Vanderbilt University
Frido Frey,1947,1947.0,F,6-2,195.0,1921-10-26,Long Island University
Larry Friend,1958,1958.0,G-F,6-4,185.0,1935-04-14,University of California
Pat Frink,1969,1969.0,G,6-4,195.0,1945-02-18,University of Colorado
Jim Fritsche,1954,1955.0,F-C,6-8,210.0,1931-12-10,Hamline University
Channing Frye,2006,2018.0,C-F,6-11,255.0,1983-05-17,University of Arizona
Bernie Fryer,1974,1975.0,G,6-3,185.0,1949-12-25,Brigham Young University
Frank Fucarino,1947,1947.0,F,6-2,175.0,1920-07-24,Long Island University
Herm Fuetsch,1948,1948.0,G,6-0,170.0,1918-07-06,
Joe Fulks,1947,1954.0,F-C,6-5,190.0,1921-10-26,Murray State University
Carl Fuller,1971,1972.0,C,6-9,225.0,1946-01-10,Bethune-Cookman College
Hiram Fuller,2004,2004.0,F,6-9,240.0,1981-05-15,"California State University, Fresno"
Todd Fuller,1997,2001.0,C,6-11,255.0,1974-07-25,North Carolina State University
Tony Fuller,1981,1981.0,G,6-4,180.0,1958-09-04,Pepperdine University
Markelle Fultz,2018,2018.0,G,6-4,195.0,1998-05-29,University of Washington
Lawrence Funderburke,1998,2005.0,F,6-9,230.0,1970-12-15,Ohio State University
Terry Furlow,1977,1980.0,G-F,6-4,190.0,1954-10-18,Michigan State University
Bill Gabor,1950,1955.0,G-F,5-11,170.0,1922-05-13,Syracuse University
Dan Gadzuric,2003,2012.0,C,6-11,240.0,1978-02-02,"University of California, Los Angeles"
Deng Gai,2006,2006.0,F,6-9,250.0,1982-03-22,Fairfield University
Elmer Gainer,1948,1950.0,F-C,6-6,195.0,1918-11-22,DePaul University
Bill Gaines,1969,1969.0,G,6-4,185.0,1946-03-10,East Texas State University
Corey Gaines,1989,1995.0,G,6-3,195.0,1965-06-01,Loyola Marymount University
David Gaines,1968,1968.0,G,6-1,170.0,1942-02-27,LeMoyne-Owen College
Reece Gaines,2004,2006.0,G,6-6,205.0,1981-01-07,University of Louisville
Sundiata Gaines,2010,2012.0,G,6-1,185.0,1986-04-18,University of Georgia
Mike Gale,1972,1982.0,G,6-4,185.0,1950-07-18,Elizabeth City State University
Chad Gallagher,1994,1994.0,C,6-10,255.0,1969-05-30,Creighton University
Harry Gallatin,1949,1958.0,F-C,6-6,210.0,1927-04-26,Truman State University
Danilo Gallinari,2009,2018.0,F,6-10,225.0,1988-08-08,
Langston Galloway,2015,2018.0,G,6-2,200.0,1991-12-09,Saint Joseph's University
Dave Gambee,1959,1970.0,F,6-6,215.0,1937-04-16,Oregon State University
Kevin Gamble,1988,1997.0,F-G,6-5,210.0,1965-11-13,University of Iowa
Bob Gantt,1947,1947.0,F-C,6-4,205.0,1922-06-22,Duke University
Jorge Garbajosa,2007,2008.0,F,6-9,245.0,1977-12-19,
Ruben Garces,2001,2001.0,F,6-9,245.0,1973-10-17,Providence College
Alex Garcia,2004,2005.0,G,6-3,220.0,1980-03-04,
Francisco Garcia,2006,2015.0,F-G,6-7,195.0,1981-12-31,University of Louisville
Chuck Gardner,1968,1968.0,F,6-8,205.0,1944-09-30,University of Colorado
Earl Gardner,1949,1949.0,F,6-3,195.0,1923-09-18,DePauw University
Kenneth Gardner,1976,1976.0,F,6-5,205.0,1949-09-27,University of Utah
Thomas Gardner,2008,2009.0,G,6-5,225.0,1985-02-08,University of Missouri
Vern Gardner,1950,1952.0,F-C,6-5,200.0,1925-05-14,University of Utah
Jack Garfinkel,1947,1949.0,G,6-0,190.0,1918-06-13,St. John's University
Patricio Garino,2017,2017.0,G-F,6-6,210.0,1993-05-17,George Washington University
Gary Garland,1980,1980.0,G,6-4,180.0,1957-10-12,DePaul University
Winston Garland,1988,1995.0,G,6-2,170.0,1964-12-19,Missouri State University
Dick Garmaker,1956,1961.0,G-F,6-3,200.0,1932-10-29,University of Minnesota
Bill Garner,1968,1968.0,C,6-10,220.0,1940-06-17,University of Portland
Chris Garner,1998,2001.0,G,5-10,156.0,1975-02-02,University of Memphis
Bill Garnett,1983,1986.0,F,6-9,225.0,1960-04-22,University of Wyoming
Kevin Garnett,1996,2016.0,F-C,6-11,240.0,1976-05-19,
Marlon Garnett,1999,1999.0,G,6-2,186.0,1975-07-03,Santa Clara University
Calvin Garrett,1981,1984.0,F,6-7,190.0,1956-07-11,Oral Roberts University
Dean Garrett,1997,2002.0,C,6-10,225.0,1966-11-27,Indiana University
Diante Garrett,2013,2014.0,G,6-4,190.0,1988-11-03,Iowa State University
Dick Garrett,1970,1974.0,G,6-3,185.0,1947-01-31,Southern Illinois University
Rowland Garrett,1973,1977.0,F,6-6,210.0,1950-07-16,Florida State University
Tom Garrick,1989,1992.0,G,6-2,185.0,1966-07-07,University of Rhode Island
John Garris,1984,1984.0,F,6-8,205.0,1959-06-06,Boston College
Kiwane Garris,1998,2000.0,G,6-2,183.0,1974-09-24,University of Illinois at Urbana-Champaign
Pat Garrity,1999,2008.0,F,6-9,238.0,1976-08-23,University of Notre Dame
Jim Garvin,1974,1974.0,F,6-7,200.0,1950-02-05,Boston University
Marc Gasol,2009,2018.0,C,7-1,255.0,1985-01-29,
Pau Gasol,2002,2018.0,F-C,7-0,250.0,1980-07-06,
Frank Gates,1950,1950.0,G,6-0,160.0,1920-04-12,Sam Houston State University
Chris Gatling,1992,2002.0,F-C,6-10,220.0,1967-09-03,Old Dominion University
Kenny Gattison,1987,1996.0,F-C,6-8,225.0,1964-05-23,Old Dominion University
Rudy Gay,2007,2018.0,F,6-8,230.0,1986-08-17,University of Connecticut
Ed Gayda,1951,1951.0,G-F,6-4,210.0,1927-05-11,Washington State University
Andrew Gaze,1994,1999.0,G,6-7,205.0,1965-07-24,Seton Hall University
Michael Gbinije,2017,2017.0,G,6-7,200.0,1992-06-05,Syracuse University
Reggie Geary,1997,1998.0,G,6-2,187.0,1973-08-31,University of Arizona
Alonzo Gee,2010,2017.0,G,6-6,225.0,1987-05-29,University of Alabama
Matt Geiger,1993,2002.0,C,7-0,243.0,1969-09-10,Georgia Institute of Technology
Mickael Gelabale,2007,2013.0,F,6-7,215.0,1983-05-22,
Devean George,2000,2010.0,G-F,6-8,220.0,1977-08-29,Augsburg College
Jack George,1954,1961.0,G,6-2,190.0,1928-11-13,La Salle University
Paul George,2011,2018.0,F,6-9,220.0,1990-05-02,"California State University, Fresno"
Tate George,1991,1995.0,G,6-5,190.0,1968-05-29,University of Connecticut
Marcus Georges-Hunt,2017,2018.0,G,6-5,216.0,1994-03-28,Georgia Institute of Technology
Gus Gerard,1975,1981.0,F-G,6-8,200.0,1953-07-27,University of Virginia
Derrick Gervin,1990,1991.0,F,6-8,200.0,1963-03-28,University of Texas at San Antonio
George Gervin,1973,1986.0,G-F,6-7,180.0,1952-04-27,Eastern Michigan University
Gorham Getchell,1947,1947.0,C,6-4,205.0,1920-08-14,Temple University
John Gianelli,1973,1980.0,C-F,6-10,220.0,1950-06-10,University of the Pacific
Dick Gibbs,1972,1976.0,F-G,6-5,210.0,1948-12-20,University of Texas at El Paso
Daniel Gibson,2007,2013.0,G,6-2,190.0,1986-02-27,University of Texas at Austin
Dee Gibson,1950,1950.0,F-G,5-11,175.0,1923-08-25,Western Kentucky University
Hoot Gibson,1950,1950.0,F-C,6-5,198.0,1921-12-05,Creighton University
Jonathan Gibson,2017,2017.0,G,6-2,185.0,1987-11-08,New Mexico State University
Mel Gibson,1964,1964.0,G,6-3,180.0,1940-12-30,Western Carolina University
Mike Gibson,1984,1986.0,F,6-10,205.0,1960-10-27,University of South Carolina Upstate
Taj Gibson,2010,2018.0,F,6-9,225.0,1985-06-24,University of Southern California
J.R. Giddens,2009,2010.0,G,6-5,215.0,1985-02-13,University of New Mexico
Trey Gilder,2010,2010.0,F,6-9,185.0,1985-01-24,Northwestern State University
Eddie Gill,2001,2009.0,G,6-0,190.0,1978-08-16,Weber State University
Kendall Gill,1991,2005.0,G,6-5,195.0,1968-05-25,University of Illinois at Urbana-Champaign
Ben Gillery,1989,1989.0,C,7-0,235.0,1965-09-19,Georgetown University
Jack Gillespie,1970,1970.0,F,6-6,215.0,1947-10-01,Montana State University
Gene Gillette,1947,1947.0,F,6-2,205.0,,Saint Mary's College of California
Armen Gilliam,1988,2000.0,F-C,6-9,230.0,1964-05-28,"University of Nevada, Las Vegas"
Herm Gilliam,1970,1977.0,G-F,6-3,190.0,1946-05-05,Purdue University
Artis Gilmore,1972,1988.0,C,7-2,240.0,1949-09-21,Jacksonville University
Walt Gilmore,1971,1971.0,F,6-6,225.0,1947-02-27,Fort Valley State University
Chuck Gilmur,1947,1951.0,F-C,6-4,225.0,1922-08-13,University of Washington
Manu Ginobili,2003,2018.0,G,6-6,205.0,1977-07-28,
Gordan Giricek,2003,2008.0,G-F,6-6,210.0,1977-06-20,
Jack Givens,1979,1980.0,F-G,6-5,205.0,1956-09-21,University of Kentucky
Mickell Gladness,2012,2012.0,C,6-11,220.0,1986-07-26,Alabama A&M University
George Glamack,1949,1949.0,C-F,6-6,225.0,1918-06-07,University of North Carolina
Gerald Glass,1991,1996.0,G-F,6-5,221.0,1967-11-12,University of Mississippi
Mike Glenn,1978,1987.0,G,6-2,175.0,1955-09-10,Southern Illinois University
Normie Glick,1950,1950.0,F,6-7,190.0,1927-11-10,Loyola Marymount University
Georgi Glouchkov,1986,1986.0,F,6-8,235.0,1960-01-10,
Clarence Glover,1972,1972.0,F,6-8,210.0,1947-11-01,Western Kentucky University
Dion Glover,2000,2005.0,G,6-5,228.0,1978-10-22,Georgia Institute of Technology
Andreas Glyniadakis,2007,2007.0,C,7-1,280.0,1981-08-21,
Mike Gminski,1981,1994.0,C,6-11,250.0,1959-08-03,Duke University
Rudy Gobert,2014,2018.0,C,7-1,245.0,1992-06-26,
Dan Godfread,1991,1992.0,C,6-10,250.0,1967-06-14,University of Evansville
Tom Gola,1956,1966.0,G-F,6-6,205.0,1933-01-13,La Salle University
Ben Goldfaden,1947,1947.0,F,6-1,185.0,1913-09-06,George Washington University
Anthony Goldwire,1996,2006.0,G,6-1,182.0,1971-09-06,University of Houston
Ryan Gomes,2006,2014.0,F,6-7,250.0,1982-09-01,Providence College
Glen Gondrezick,1978,1983.0,F-G,6-6,218.0,1955-08-30,"University of Nevada, Las Vegas"
Grant Gondrezick,1987,1989.0,G,6-5,205.0,1963-01-19,Pepperdine University
Drew Gooden,2003,2016.0,F,6-10,250.0,1981-09-24,University of Kansas
Gail Goodrich,1966,1979.0,G,6-1,170.0,1943-04-23,"University of California, Los Angeles"
Steve Goodrich,2001,2002.0,F,6-10,220.0,1976-03-18,Princeton University
Archie Goodwin,2014,2017.0,G,6-5,200.0,1994-08-17,University of Kentucky
Pop Goodwin,1947,1948.0,F-C,6-2,203.0,1920-12-22,
Aaron Gordon,2015,2018.0,F,6-9,220.0,1995-09-16,University of Arizona
Ben Gordon,2005,2015.0,G,6-3,200.0,1983-04-04,University of Connecticut
Drew Gordon,2015,2015.0,F,6-9,245.0,1990-07-12,University of New Mexico
Eric Gordon,2009,2018.0,G,6-4,215.0,1988-12-25,Indiana University
Lancaster Gordon,1985,1988.0,G,6-3,185.0,1962-06-24,University of Louisville
Paul Gordon,1950,1950.0,F,6-3,185.0,1927-04-08,University of Notre Dame
Marcin Gortat,2008,2018.0,C-F,6-11,240.0,1984-02-17,
Leo Gottlieb,1947,1948.0,G,5-11,180.0,1920-11-28,
Andrew Goudelock,2012,2016.0,G,6-3,200.0,1988-12-07,College of Charleston
Gerald Govan,1968,1976.0,F-C,6-10,220.0,1942-01-02,Saint Mary of the Plains College
Bato Govedarica,1954,1954.0,G,5-11,185.0,1928-04-17,DePaul University
Joe Graboski,1949,1962.0,F-C,6-7,195.0,1930-01-15,
Ricky Grace,1994,1994.0,G,6-1,180.0,1967-08-20,University of Oklahoma
Calvin Graham,1968,1968.0,G,6-2,195.0,1944-06-07,Gannon University
Greg Graham,1994,1998.0,G,6-4,174.0,1970-11-26,Indiana University
Joey Graham,2006,2011.0,F,6-7,225.0,1982-06-11,Oklahoma State University
Mal Graham,1968,1969.0,G,6-1,185.0,1945-02-23,New York University
Orlando Graham,1989,1989.0,F,6-8,220.0,1965-05-05,Auburn University at Montgomery
Paul Graham,1992,1994.0,F-G,6-6,200.0,1967-11-28,Ohio University
Stephen Graham,2006,2011.0,G,6-6,215.0,1982-06-11,Oklahoma State University
Treveon Graham,2017,2018.0,G,6-6,220.0,1993-10-29,Virginia Commonwealth University
Jim Grandholm,1991,1991.0,F-C,7-0,235.0,1960-10-04,University of South Florida
Ron Grandison,1989,1996.0,F,6-6,215.0,1964-07-09,University of New Orleans
Danny Granger,2006,2015.0,F,6-9,222.0,1983-04-20,University of New Mexico
Stewart Granger,1984,1987.0,G,6-3,190.0,1961-10-27,Villanova University
Brian Grant,1995,2006.0,F,6-9,254.0,1972-03-05,Xavier University
Bud Grant,1950,1951.0,F,6-3,195.0,1927-05-20,University of Minnesota
Gary Grant,1989,2001.0,G,6-3,185.0,1965-04-21,University of Michigan
Greg Grant,1990,1996.0,G,5-7,140.0,1966-08-29,Trenton State University
Harvey Grant,1989,1999.0,F,6-8,195.0,1965-07-04,University of Oklahoma
Horace Grant,1988,2004.0,F-C,6-10,215.0,1965-07-04,Clemson University
Jerami Grant,2015,2018.0,F,6-8,210.0,1994-03-12,Syracuse University
Jerian Grant,2016,2018.0,G,6-4,195.0,1992-10-09,University of Notre Dame
Josh Grant,1994,1994.0,F,6-9,223.0,1967-08-07,University of Utah
Paul Grant,1999,2004.0,C,7-0,245.0,1974-01-06,University of Wisconsin
Travis Grant,1973,1976.0,F,6-7,215.0,1950-01-01,Kentucky State University
Don Grate,1950,1950.0,F-G,6-2,185.0,1923-08-27,Ohio State University
Butch Graves,1985,1985.0,G,6-3,200.0,1962-01-05,Yale University
Aaron Gray,2008,2014.0,C,7-0,270.0,1984-12-07,University of Pittsburgh
Devin Gray,1997,2000.0,F,6-7,240.0,1972-05-31,Clemson University
Ed Gray,1998,1999.0,G,6-3,210.0,1975-09-27,University of California
Evric Gray,1997,1997.0,F,6-7,235.0,1969-12-13,"University of Nevada, Las Vegas"
Gary Gray,1968,1968.0,G,6-1,185.0,1945-02-23,Oklahoma City University
Leonard Gray,1975,1977.0,F,6-8,240.0,1951-12-19,"California State University, Long Beach"
Stuart Gray,1985,1991.0,C-F,7-0,235.0,1963-05-27,"University of California, Los Angeles"
Sylvester Gray,1989,1989.0,F,6-6,230.0,1967-07-08,University of Memphis
Wyndol Gray,1947,1948.0,G-F,6-1,175.0,1922-03-20,Harvard University
Jeff Grayer,1989,1998.0,F-G,6-5,200.0,1965-12-17,Iowa State University
Bob Greacen,1970,1972.0,F,6-7,206.0,1947-09-15,Rutgers University
A.C. Green,1986,2001.0,F-C,6-9,220.0,1963-10-04,Oregon State University
Danny Green,2010,2018.0,G-F,6-6,215.0,1987-06-22,University of North Carolina
Devin Green,2006,2006.0,G,6-7,210.0,1982-10-25,Hampton University
Draymond Green,2013,2018.0,F,6-7,230.0,1990-03-04,Michigan State University
Erick Green,2015,2016.0,G,6-4,185.0,1991-05-09,Virginia Polytechnic Institute and State University
Gerald Green,2006,2017.0,G-F,6-7,205.0,1986-01-26,
JaMychal Green,2015,2018.0,F,6-9,227.0,1990-06-21,University of Alabama
Jeff Green,2008,2018.0,F,6-9,235.0,1986-08-28,Georgetown University
Johnny Green,1960,1973.0,F-C,6-5,200.0,1933-12-08,Michigan State University
Ken Green,1986,1986.0,F,6-8,215.0,1959-09-19,University of Texas-Pan American
Kenny Green,1986,1987.0,F,6-6,210.0,1964-10-11,Wake Forest University
Lamar Green,1970,1975.0,F-C,6-7,210.0,1947-03-22,Morehead State University
Litterial Green,1993,1999.0,G,6-1,185.0,1970-03-07,University of Georgia
Luther Green,1970,1973.0,F,6-7,190.0,1946-11-13,Long Island University
Mike Green,1974,1980.0,C-F,6-10,200.0,1951-08-06,Louisiana Tech University
Rickey Green,1978,1992.0,G,6-0,170.0,1954-08-18,University of Michigan
Sean Green,1992,1994.0,G-F,6-5,210.0,1970-02-02,Iona College
Si Green,1957,1966.0,G-F,6-2,185.0,1933-08-20,Duquesne University
Sidney Green,1984,1993.0,F-C,6-9,220.0,1961-01-04,"University of Nevada, Las Vegas"
Steve Green,1976,1979.0,F,6-7,220.0,1953-10-04,Indiana University
Taurean Green,2008,2008.0,G,6-0,177.0,1986-11-28,University of Florida
Tommie Green,1979,1979.0,G,6-2,185.0,1956-04-08,Southern University and A&M College
Willie Green,2004,2015.0,G,6-4,200.0,1981-07-28,University of Detroit Mercy
Donte Greene,2009,2012.0,F,6-11,226.0,1988-02-21,Syracuse University
Orien Greene,2006,2011.0,G,6-4,208.0,1982-02-04,University of Louisiana at Lafayette
Jerry Greenspan,1964,1965.0,F,6-5,195.0,1941-11-22,University of Maryland
Dave Greenwood,1980,1991.0,F-C,6-9,222.0,1957-05-27,"University of California, Los Angeles"
Hal Greer,1959,1973.0,G-F,6-2,175.0,1936-06-26,Marshall University
Lynn Greer,2007,2007.0,G,6-2,175.0,1979-10-23,Temple University
Gary Gregor,1969,1974.0,F-C,6-7,225.0,1945-08-13,University of South Carolina
Claude Gregory,1986,1988.0,F,6-8,205.0,1958-12-26,University of Wisconsin
John Greig,1983,1983.0,F,6-7,215.0,1961-04-28,University of Oregon
Norm Grekin,1954,1954.0,F,6-5,180.0,1930-06-22,La Salle University
Kevin Grevey,1976,1985.0,G-F,6-5,210.0,1953-05-12,University of Kentucky
Dennis Grey,1969,1970.0,C-F,6-8,215.0,1947-08-26,California Western Uiversity
Adrian Griffin,2000,2008.0,G-F,6-5,217.0,1974-07-04,Seton Hall University
Blake Griffin,2011,2018.0,F,6-10,251.0,1989-03-16,University of Oklahoma
Eddie Griffin,2002,2007.0,F-C,6-10,220.0,1982-05-30,Seton Hall University
Greg Griffin,1978,1978.0,F,6-7,190.0,1952-09-06,Idaho State University
Paul Griffin,1977,1983.0,F-C,6-9,205.0,1954-01-20,Western Michigan University
Taylor Griffin,2010,2010.0,F,6-7,238.0,1986-04-18,University of Oklahoma
